,0
0,41.022
1,67.45
2,38.04
3,65.59
4,100.0
5,40.614
6,100.0
7,100.0
8,100.0
9,13.684
10,100.0
11,20.0
12,100.0
13,100.0
14,100.0
15,60.0
16,20.0
17,41.124
18,36.9
19,60.0
20,20.0
21,100.0
22,37.242
23,40.746
24,20.0
25,13.376
26,39.468
27,100.0
28,60.0
29,40.584
30,65.7
31,60.0
32,13.878
33,100.0
34,63.5
35,60.0
36,60.0
37,20.0
38,60.0
39,40.884
40,20.0
41,20.0
42,69.22
43,20.0
44,60.0
45,60.0
46,100.0
47,100.0
48,60.0
49,60.0
50,100.0
51,20.0
52,40.23
53,39.27
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,13.85
60,100.0
61,68.23
62,60.0
63,68.06
64,39.174
65,34.82
66,100.0
67,100.0
68,100.0
69,13.664
70,20.0
71,60.0
72,13.406
73,60.0
74,60.0
75,20.0
76,20.0
77,70.11
78,20.0
79,13.086
80,21.3
81,13.778
82,100.0
83,20.0
84,13.58
85,100.0
86,100.0
87,20.0
88,20.0
89,100.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,60.0
97,20.0
98,20.0
99,60.0
100,60.0
101,60.0
102,20.0
103,40.896
104,100.0
105,40.206
106,20.0
107,13.582
108,35.79
109,100.0
110,20.0
111,40.458
112,67.83
113,20.0
114,100.0
115,20.0
116,20.0
117,20.0
118,14.316
119,20.0
120,20.0
121,100.0
122,40.854
123,100.0
124,100.0
125,100.0
126,67.75
127,14.106
128,20.0
129,12.84
130,66.67
131,20.0
132,38.04
133,13.98
134,13.28
135,20.0
136,20.0
137,20.0
138,20.0
139,60.0
140,20.0
141,70.81
142,100.0
143,68.99
144,100.0
145,13.402
146,100.0
147,67.01
148,100.0
149,60.0
150,60.0
151,20.0
152,12.946
153,13.272
154,100.0
155,20.0
156,20.0
157,100.0
158,100.0
159,60.0
160,60.0
161,40.206
162,100.0
163,60.0
164,60.0
165,13.93
166,20.0
167,100.0
168,12.736
169,60.0
170,60.0
171,68.55
172,20.0
173,60.0
174,60.0
175,60.0
176,100.0
177,13.138
178,40.638
179,38.52
180,60.0
181,40.746
182,20.0
183,20.0
184,60.0
185,60.0
186,20.0
187,100.0
188,60.0
189,60.0
190,60.0
191,20.0
192,20.0
193,60.0
194,100.0
195,100.0
196,68.84
197,66.58
198,22.5
199,60.0
200,100.0
201,100.0
202,20.0
203,39.174
204,20.0
205,20.0
206,20.0
207,20.0
208,100.0
209,60.0
210,40.452
211,20.0
212,38.766
213,64.82
214,100.0
215,100.0
216,12.762
217,20.0
218,40.038
219,100.0
220,68.75
221,13.078
222,13.192
223,100.0
224,12.872
225,7.234
226,20.0
227,41.55
228,13.08
229,60.0
230,100.0
231,39.744
232,100.0
233,65.48
234,40.176
235,60.0
236,20.0
237,20.0
238,20.0
239,20.0
240,63.95
241,40.644
242,66.18
243,100.0
244,60.0
245,60.0
246,20.0
247,100.0
248,60.0
249,40.866
250,60.0
251,42.156
252,100.0
253,100.0
254,100.0
255,60.0
256,20.898
257,100.0
258,38.34
